_Carry_out_roadside_bombing(X0,X1,T1) <- Use_unconventional_violence(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Carry_out_car_bombing(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Carry_out_suicide_bombing(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Conduct_suicide,_car,_or_other_non-military_bombing(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Protest_violently,_riot(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Threaten_with_military_force(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Mobilize_or_increase_armed_forces(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Use_tactics_of_violent_repression(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Reject_plan,_agreement_to_settle_dispute(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Halt_mediation(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Engage_in_mass_killings(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Attempt_to_assassinate(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Provide_military_aid(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Demand_change_in_leadership(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Defy_norms,_law(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Abduct,_hijack,_or_take_hostage(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Destroy_property(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Seize_or_damage_property(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Physically_assault(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Kill_by_physical_assault(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Torture(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Arrest,_detain,_or_charge_with_legal_action(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Increase_military_alert_status(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Use_conventional_military_force(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Express_intent_to_provide_military_aid(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Criticize_or_denounce(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Accuse_of_war_crimes(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Give_ultimatum(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Threaten(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Refuse_to_yield(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T1) <- Violate_ceasefire(X0,X1,T0).
_Carry_out_roadside_bombing(X0,X1,T2) <- Protest_violently,_riot(X0,X1,T0), Use_tactics_of_violent_repression(X1,X0,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Demand_change_in_leadership(X0,X1,T0), Reject_request_for_change_in_leadership(X1,X0,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Threaten_with_military_force(X0,X1,T0), Use_conventional_military_force(X1,X0,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Express_intent_to_provide_military_aid(X0,X2,T0), Use_conventional_military_force(X2,X3,T1), Use_conventional_military_force(X3,X1,T2).
_Carry_out_roadside_bombing(X0,X1,T2) <- Engage_in_negotiation(X0,X1,T0), Reject_proposal_to_meet,_discuss,_or_negotiate(X1,X0,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Sign_formal_agreement(X0,X1,T0), Violate_ceasefire(X0,X1,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Appeal_for_military_aid(X0,X1,T0), Express_intent_to_provide_military_aid(X1,X0,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Demand_economic_aid(X0,X1,T0), Reduce_or_stop_economic_assistance(X1,X0,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Demand_rights(X0,X1,T0), Impose_restrictions_on_political_freedoms(X1,X0,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Demonstrate_or_rally(X0,X1,T0), Use_tactics_of_violent_repression(X1,X0,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Express_intent_to_cooperate_militarily(X0,X1,T0), Reject_military_cooperation(X1,X0,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Make_statement(X0,X1,T0), Threaten_with_military_force(X0,X1,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Consider_policy_option(X0,X1,T0), Use_conventional_military_force(X0,X1,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Engage_in_political_dissent(X0,X1,T0), Ease_state_of_emergency_or_martial_law(X1,X0,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Demand_release_of_persons_or_property(X0,X1,T0), Refuse_to_release_persons_or_property(X1,X0,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Occupy_territory(X0,X1,T0), Retreat_or_surrender_militarily(X1,X0,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Expel_or_deport_individuals(X0,X1,T0), Abduct,_hijack,_or_take_hostage(X1,X0,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Impose_blockade,_restrict_movement(X0,X1,T0), Obstruct_passage,_block(X1,X0,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Demand_mediation(X0,X1,T0), Halt_mediation(X1,X0,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Express_intent_to_yield(X0,X1,T0), Refuse_to_yield(X1,X0,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Cooperate_militarily(X0,X1,T0), Reject_military_cooperation(X1,X0,T1).
_Carry_out_roadside_bombing(X0,X1,T2) <- Share_intelligence_or_information(X0,X1,T0), Investigate(X1,X0,T1).
